Provider,PotentialFraud,inp_claim_count,inp_total_reimb,inp_mean_reimb,inp_unique_bene,outp_claim_count,outp_total_reimb,outp_mean_reimb,outp_unique_bene,total_claim_count,total_reimb,total_unique_bene,claims_per_bene,inp_to_outp_ratio
PRV51038,No,15.0,117600.0,7840.0,14.0,14.0,4320.0,308.57142857142856,9.0,29.0,121920.0,23.0,1.2083333333333333,1.0
PRV51040,No,6.0,34000.0,5666.666666666667,5.0,5.0,760.0,152.0,5.0,11.0,34760.0,10.0,1.0,1.0
PRV51041,No,,,,,3.0,150.0,50.0,3.0,3.0,150.0,3.0,0.75,0.0
PRV51042,No,,,,,10.0,5690.0,569.0,9.0,10.0,5690.0,9.0,1.0,0.0
PRV51043,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51044,No,,,,,5.0,2260.0,452.0,3.0,5.0,2260.0,3.0,1.25,0.0
PRV51045,No,,,,,2.0,110.0,55.0,2.0,2.0,110.0,2.0,0.6666666666666666,0.0
PRV51046,No,6.0,94000.0,15666.666666666666,5.0,,,,,6.0,94000.0,5.0,1.0,6.0
PRV51047,No,,,,,2.0,30.0,15.0,2.0,2.0,30.0,2.0,0.6666666666666666,0.0
PRV51048,No,3.0,12000.0,4000.0,3.0,5.0,620.0,124.0,4.0,8.0,12620.0,7.0,1.0,0.5
PRV51049,No,,,,,4.0,1080.0,270.0,4.0,4.0,1080.0,4.0,0.8,0.0
PRV51052,Yes,2.0,14000.0,7000.0,2.0,3.0,90.0,30.0,3.0,5.0,14090.0,5.0,0.8333333333333334,0.5
PRV51053,No,1.0,8000.0,8000.0,1.0,,,,,1.0,8000.0,1.0,0.5,1.0
PRV51054,No,,,,,2.0,130.0,65.0,2.0,2.0,130.0,2.0,0.6666666666666666,0.0
PRV51055,No,1.0,16000.0,16000.0,1.0,3.0,170.0,56.666666666666664,3.0,4.0,16170.0,4.0,0.8,0.25
PRV51056,No,2.0,8000.0,4000.0,2.0,,,,,2.0,8000.0,2.0,0.6666666666666666,2.0
PRV51057,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51058,No,3.0,70000.0,23333.333333333332,3.0,5.0,480.0,96.0,5.0,8.0,70480.0,8.0,0.8888888888888888,0.5
PRV51059,Yes,14.0,146000.0,10428.57142857143,14.0,3.0,1630.0,543.3333333333334,3.0,17.0,147630.0,17.0,0.9444444444444444,3.5
PRV51060,No,3.0,27000.0,9000.0,3.0,5.0,990.0,198.0,5.0,8.0,27990.0,8.0,0.8888888888888888,0.5
PRV51061,No,,,,,6.0,3840.0,640.0,6.0,6.0,3840.0,6.0,0.8571428571428571,0.0
PRV51062,No,2.0,41000.0,20500.0,2.0,28.0,4420.0,157.85714285714286,10.0,30.0,45420.0,12.0,2.3076923076923075,0.06896551724137931
PRV51063,No,,,,,10.0,8060.0,806.0,8.0,10.0,8060.0,8.0,1.1111111111111112,0.0
PRV51064,Yes,19.0,163000.0,8578.947368421053,17.0,20.0,10470.0,523.5,16.0,39.0,173470.0,33.0,1.1470588235294117,0.9047619047619048
PRV51065,No,9.0,68000.0,7555.555555555556,9.0,3.0,280.0,93.33333333333333,2.0,12.0,68280.0,11.0,1.0,2.25
PRV51066,No,1.0,15000.0,15000.0,1.0,3.0,190.0,63.333333333333336,2.0,4.0,15190.0,3.0,1.0,0.25
PRV51067,Yes,6.0,191000.0,31833.333333333332,6.0,4.0,160.0,40.0,4.0,10.0,191160.0,10.0,0.9090909090909091,1.2
PRV51068,No,6.0,48000.0,8000.0,6.0,28.0,9950.0,355.35714285714283,22.0,34.0,57950.0,28.0,1.1724137931034482,0.20689655172413793
PRV51070,No,7.0,74000.0,10571.42857142857,7.0,3.0,2260.0,753.3333333333334,3.0,10.0,76260.0,10.0,0.9090909090909091,1.75
PRV51071,No,,,,,4.0,240.0,60.0,4.0,4.0,240.0,4.0,0.8,0.0
PRV51072,No,7.0,35000.0,5000.0,7.0,13.0,1510.0,116.15384615384616,10.0,20.0,36510.0,17.0,1.1111111111111112,0.5
PRV51074,No,2.0,18000.0,9000.0,2.0,3.0,710.0,236.66666666666666,3.0,5.0,18710.0,5.0,0.8333333333333334,0.5
PRV51075,No,,,,,1.0,70.0,70.0,1.0,1.0,70.0,1.0,0.5,0.0
PRV51076,No,,,,,3.0,1350.0,450.0,2.0,3.0,1350.0,2.0,1.0,0.0
PRV51077,Yes,7.0,49000.0,7000.0,5.0,2.0,130.0,65.0,2.0,9.0,49130.0,7.0,1.125,2.3333333333333335
PRV51078,No,5.0,43000.0,8600.0,5.0,1.0,10.0,10.0,1.0,6.0,43010.0,6.0,0.8571428571428571,2.5
PRV51081,No,5.0,76000.0,15200.0,5.0,29.0,2390.0,82.41379310344827,15.0,34.0,78390.0,20.0,1.619047619047619,0.16666666666666666
PRV51082,No,,,,,1.0,90.0,90.0,1.0,1.0,90.0,1.0,0.5,0.0
PRV51083,No,,,,,6.0,3430.0,571.6666666666666,6.0,6.0,3430.0,6.0,0.8571428571428571,0.0
PRV51084,Yes,13.0,106000.0,8153.846153846154,12.0,2.0,230.0,115.0,2.0,15.0,106230.0,14.0,1.0,4.333333333333333
PRV51086,No,18.0,215000.0,11944.444444444445,17.0,4.0,430.0,107.5,4.0,22.0,215430.0,21.0,1.0,3.6
PRV51089,No,13.0,156000.0,12000.0,13.0,20.0,11800.0,590.0,17.0,33.0,167800.0,30.0,1.064516129032258,0.6190476190476191
PRV51090,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51091,No,,,,,4.0,330.0,82.5,4.0,4.0,330.0,4.0,0.8,0.0
PRV51093,No,1.0,0.0,0.0,1.0,,,,,1.0,0.0,1.0,0.5,1.0
PRV51096,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51097,No,,,,,4.0,3480.0,870.0,4.0,4.0,3480.0,4.0,0.8,0.0
PRV51098,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51100,No,1.0,33000.0,33000.0,1.0,,,,,1.0,33000.0,1.0,0.5,1.0
PRV51101,No,2.0,16000.0,8000.0,2.0,,,,,2.0,16000.0,2.0,0.6666666666666666,2.0
PRV51102,No,8.0,70000.0,8750.0,7.0,,,,,8.0,70000.0,7.0,1.0,8.0
PRV51103,Yes,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51104,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51105,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51108,No,10.0,86000.0,8600.0,10.0,,,,,10.0,86000.0,10.0,0.9090909090909091,10.0
PRV51109,No,2.0,11000.0,5500.0,2.0,,,,,2.0,11000.0,2.0,0.6666666666666666,2.0
PRV51110,No,3.0,20000.0,6666.666666666667,3.0,,,,,3.0,20000.0,3.0,0.75,3.0
PRV51111,No,,,,,7.0,940.0,134.28571428571428,4.0,7.0,940.0,4.0,1.4,0.0
PRV51112,No,,,,,15.0,5800.0,386.6666666666667,12.0,15.0,5800.0,12.0,1.1538461538461537,0.0
PRV51113,No,,,,,6.0,3210.0,535.0,4.0,6.0,3210.0,4.0,1.2,0.0
PRV51114,No,,,,,27.0,7710.0,285.55555555555554,15.0,27.0,7710.0,15.0,1.6875,0.0
PRV51115,No,,,,,1.0,40.0,40.0,1.0,1.0,40.0,1.0,0.5,0.0
PRV51117,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51118,No,9.0,80000.0,8888.888888888889,9.0,,,,,9.0,80000.0,9.0,0.9,9.0
PRV51119,Yes,63.0,585000.0,9285.714285714286,55.0,,,,,63.0,585000.0,55.0,1.125,63.0
PRV51120,No,5.0,34000.0,6800.0,5.0,,,,,5.0,34000.0,5.0,0.8333333333333334,5.0
PRV51121,No,5.0,78000.0,15600.0,5.0,,,,,5.0,78000.0,5.0,0.8333333333333334,5.0
PRV51122,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51123,No,2.0,9000.0,4500.0,2.0,2.0,120.0,60.0,2.0,4.0,9120.0,4.0,0.8,0.6666666666666666
PRV51125,No,7.0,56000.0,8000.0,7.0,,,,,7.0,56000.0,7.0,0.875,7.0
PRV51126,Yes,14.0,131000.0,9357.142857142857,12.0,,,,,14.0,131000.0,12.0,1.0769230769230769,14.0
PRV51128,No,1.0,19000.0,19000.0,1.0,1.0,20.0,20.0,1.0,2.0,19020.0,2.0,0.6666666666666666,0.5
PRV51129,No,,,,,4.0,760.0,190.0,4.0,4.0,760.0,4.0,0.8,0.0
PRV51130,No,,,,,1.0,10.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0
PRV51131,No,,,,,1.0,10.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0
PRV51132,No,1.0,4000.0,4000.0,1.0,,,,,1.0,4000.0,1.0,0.5,1.0
PRV51134,No,,,,,1.0,40.0,40.0,1.0,1.0,40.0,1.0,0.5,0.0
PRV51135,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51136,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51137,No,,,,,6.0,640.0,106.66666666666667,4.0,6.0,640.0,4.0,1.2,0.0
PRV51138,No,1.0,6000.0,6000.0,1.0,2.0,460.0,230.0,1.0,3.0,6460.0,2.0,1.0,0.3333333333333333
PRV51139,No,4.0,15300.0,3825.0,4.0,1.0,40.0,40.0,1.0,5.0,15340.0,5.0,0.8333333333333334,2.0
PRV51140,No,28.0,182400.0,6514.285714285715,28.0,31.0,14770.0,476.4516129032258,29.0,59.0,197170.0,57.0,1.0172413793103448,0.875
PRV51141,No,,,,,5.0,2170.0,434.0,2.0,5.0,2170.0,2.0,1.6666666666666667,0.0
PRV51142,No,2.0,60000.0,30000.0,2.0,1.0,50.0,50.0,1.0,3.0,60050.0,3.0,0.75,1.0
PRV51143,No,,,,,10.0,1950.0,195.0,9.0,10.0,1950.0,9.0,1.0,0.0
PRV51144,No,3.0,20000.0,6666.666666666667,3.0,3.0,660.0,220.0,2.0,6.0,20660.0,5.0,1.0,0.75
PRV51145,Yes,95.0,1086400.0,11435.78947368421,73.0,1.0,20.0,20.0,1.0,96.0,1086420.0,74.0,1.28,47.5
PRV51146,Yes,107.0,1110000.0,10373.831775700935,105.0,17.0,3490.0,205.2941176470588,14.0,124.0,1113490.0,119.0,1.0333333333333334,5.944444444444445
PRV51147,No,,,,,1.0,60.0,60.0,1.0,1.0,60.0,1.0,0.5,0.0
PRV51148,Yes,22.0,228400.0,10381.818181818182,21.0,30.0,13580.0,452.6666666666667,22.0,52.0,241980.0,43.0,1.1818181818181819,0.7096774193548387
PRV51149,Yes,72.0,676000.0,9388.888888888889,66.0,2.0,220.0,110.0,1.0,74.0,676220.0,67.0,1.088235294117647,24.0
PRV51151,No,14.0,94000.0,6714.285714285715,14.0,17.0,6790.0,399.4117647058824,17.0,31.0,100790.0,31.0,0.96875,0.7777777777777778
PRV51152,No,,,,,3.0,190.0,63.333333333333336,2.0,3.0,190.0,2.0,1.0,0.0
PRV51153,No,2.0,40000.0,20000.0,2.0,6.0,2050.0,341.6666666666667,6.0,8.0,42050.0,8.0,0.8888888888888888,0.2857142857142857
PRV51154,No,,,,,25.0,7470.0,298.8,20.0,25.0,7470.0,20.0,1.1904761904761905,0.0
PRV51155,No,,,,,8.0,4030.0,503.75,8.0,8.0,4030.0,8.0,0.8888888888888888,0.0
PRV51156,No,,,,,43.0,10850.0,252.32558139534885,36.0,43.0,10850.0,36.0,1.162162162162162,0.0
PRV51159,Yes,42.0,433660.0,10325.238095238095,40.0,21.0,4660.0,221.9047619047619,19.0,63.0,438320.0,59.0,1.05,1.9090909090909092
PRV51160,No,51.0,536000.0,10509.803921568628,49.0,1.0,80.0,80.0,1.0,52.0,536080.0,50.0,1.0196078431372548,25.5
PRV51164,No,24.0,228000.0,9500.0,24.0,34.0,8910.0,262.05882352941177,26.0,58.0,236910.0,50.0,1.1372549019607843,0.6857142857142857
PRV51165,No,14.0,123000.0,8785.714285714286,14.0,4.0,510.0,127.5,4.0,18.0,123510.0,18.0,0.9473684210526315,2.8
PRV51166,No,1.0,22000.0,22000.0,1.0,,,,,1.0,22000.0,1.0,0.5,1.0
PRV51167,No,,,,,12.0,4660.0,388.3333333333333,12.0,12.0,4660.0,12.0,0.9230769230769231,0.0
PRV51168,No,9.0,63000.0,7000.0,9.0,2.0,40.0,20.0,2.0,11.0,63040.0,11.0,0.9166666666666666,3.0
PRV51169,No,,,,,2.0,50.0,25.0,2.0,2.0,50.0,2.0,0.6666666666666666,0.0
PRV51170,Yes,4.0,73000.0,18250.0,4.0,,,,,4.0,73000.0,4.0,0.8,4.0
PRV51171,No,,,,,6.0,4010.0,668.3333333333334,6.0,6.0,4010.0,6.0,0.8571428571428571,0.0
PRV51173,Yes,5.0,78000.0,15600.0,5.0,2.0,100.0,50.0,2.0,7.0,78100.0,7.0,0.875,1.6666666666666667
PRV51175,No,,,,,2.0,900.0,450.0,2.0,2.0,900.0,2.0,0.6666666666666666,0.0
PRV51176,No,,,,,34.0,7550.0,222.05882352941177,32.0,34.0,7550.0,32.0,1.0303030303030303,0.0
PRV51178,Yes,21.0,272000.0,12952.380952380952,21.0,3.0,100.0,33.333333333333336,3.0,24.0,272100.0,24.0,0.96,5.25
PRV51179,No,,,,,3.0,1480.0,493.3333333333333,3.0,3.0,1480.0,3.0,0.75,0.0
PRV51180,No,1.0,6000.0,6000.0,1.0,21.0,6660.0,317.14285714285717,11.0,22.0,12660.0,12.0,1.6923076923076923,0.045454545454545456
PRV51181,No,,,,,1.0,30.0,30.0,1.0,1.0,30.0,1.0,0.5,0.0
PRV51183,No,29.0,277800.0,9579.310344827587,29.0,4.0,350.0,87.5,2.0,33.0,278150.0,31.0,1.03125,5.8
PRV51185,No,,,,,3.0,250.0,83.33333333333333,3.0,3.0,250.0,3.0,0.75,0.0
PRV51186,No,,,,,1.0,50.0,50.0,1.0,1.0,50.0,1.0,0.5,0.0
PRV51189,No,,,,,6.0,720.0,120.0,6.0,6.0,720.0,6.0,0.8571428571428571,0.0
PRV51190,No,3.0,24000.0,8000.0,3.0,6.0,1580.0,263.3333333333333,6.0,9.0,25580.0,9.0,0.9,0.42857142857142855
PRV51191,No,,,,,1.0,300.0,300.0,1.0,1.0,300.0,1.0,0.5,0.0
PRV51194,No,1.0,4000.0,4000.0,1.0,2.0,280.0,140.0,2.0,3.0,4280.0,3.0,0.75,0.3333333333333333
PRV51196,No,,,,,39.0,8660.0,222.05128205128204,21.0,39.0,8660.0,21.0,1.7727272727272727,0.0
PRV51198,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51200,No,,,,,1.0,10.0,10.0,1.0,1.0,10.0,1.0,0.5,0.0
PRV51201,No,,,,,6.0,560.0,93.33333333333333,5.0,6.0,560.0,5.0,1.0,0.0
PRV51202,No,,,,,1.0,50.0,50.0,1.0,1.0,50.0,1.0,0.5,0.0
PRV51203,No,,,,,1.0,60.0,60.0,1.0,1.0,60.0,1.0,0.5,0.0
PRV51204,No,,,,,31.0,10770.0,347.4193548387097,26.0,31.0,10770.0,26.0,1.1481481481481481,0.0
PRV51205,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51206,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51207,No,2.0,13000.0,6500.0,2.0,,,,,2.0,13000.0,2.0,0.6666666666666666,2.0
PRV51209,No,,,,,2.0,150.0,75.0,2.0,2.0,150.0,2.0,0.6666666666666666,0.0
PRV51210,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51211,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51212,No,,,,,2.0,290.0,145.0,2.0,2.0,290.0,2.0,0.6666666666666666,0.0
PRV51213,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51214,No,,,,,1.0,100.0,100.0,1.0,1.0,100.0,1.0,0.5,0.0
PRV51215,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51216,No,,,,,6.0,1300.0,216.66666666666666,5.0,6.0,1300.0,5.0,1.0,0.0
PRV51217,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51218,No,,,,,1.0,40.0,40.0,1.0,1.0,40.0,1.0,0.5,0.0
PRV51219,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51221,No,,,,,1.0,70.0,70.0,1.0,1.0,70.0,1.0,0.5,0.0
PRV51222,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51224,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51225,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51226,No,,,,,1.0,40.0,40.0,1.0,1.0,40.0,1.0,0.5,0.0
PRV51228,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51229,No,,,,,7.0,1560.0,222.85714285714286,6.0,7.0,1560.0,6.0,1.0,0.0
PRV51230,No,,,,,3.0,3300.0,1100.0,3.0,3.0,3300.0,3.0,0.75,0.0
PRV51231,No,2.0,16000.0,8000.0,2.0,,,,,2.0,16000.0,2.0,0.6666666666666666,2.0
PRV51232,No,1.0,26000.0,26000.0,1.0,,,,,1.0,26000.0,1.0,0.5,1.0
PRV51233,No,3.0,27000.0,9000.0,3.0,,,,,3.0,27000.0,3.0,0.75,3.0
PRV51234,No,3.0,16000.0,5333.333333333333,3.0,,,,,3.0,16000.0,3.0,0.75,3.0
PRV51235,No,2.0,10000.0,5000.0,2.0,,,,,2.0,10000.0,2.0,0.6666666666666666,2.0
PRV51236,No,1.0,12000.0,12000.0,1.0,,,,,1.0,12000.0,1.0,0.5,1.0
PRV51237,No,1.0,19000.0,19000.0,1.0,,,,,1.0,19000.0,1.0,0.5,1.0
PRV51238,No,6.0,87000.0,14500.0,6.0,,,,,6.0,87000.0,6.0,0.8571428571428571,6.0
PRV51239,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51240,No,8.0,58000.0,7250.0,8.0,1.0,80.0,80.0,1.0,9.0,58080.0,9.0,0.9,4.0
PRV51241,No,8.0,70000.0,8750.0,7.0,6.0,2210.0,368.3333333333333,5.0,14.0,72210.0,12.0,1.0769230769230769,1.1428571428571428
PRV51242,Yes,7.0,57000.0,8142.857142857143,7.0,2.0,1500.0,750.0,2.0,9.0,58500.0,9.0,0.9,2.3333333333333335
PRV51243,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51244,Yes,131.0,1199100.0,9153.435114503816,109.0,70.0,21520.0,307.42857142857144,41.0,201.0,1220620.0,150.0,1.3311258278145695,1.8450704225352113
PRV51245,No,4.0,20000.0,5000.0,4.0,6.0,1120.0,186.66666666666666,4.0,10.0,21120.0,8.0,1.1111111111111112,0.5714285714285714
PRV51247,No,7.0,64000.0,9142.857142857143,5.0,,,,,7.0,64000.0,5.0,1.1666666666666667,7.0
PRV51248,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51249,Yes,29.0,283000.0,9758.620689655172,22.0,4.0,3160.0,790.0,4.0,33.0,286160.0,26.0,1.2222222222222223,5.8
PRV51250,No,,,,,4.0,390.0,97.5,4.0,4.0,390.0,4.0,0.8,0.0
PRV51251,No,,,,,,,,,0.0,0.0,0.0,0.0,0.0
PRV51252,No,16.0,120000.0,7500.0,16.0,4.0,970.0,242.5,4.0,20.0,120970.0,20.0,0.9523809523809523,3.2
PRV51253,No,,,,,12.0,3450.0,287.5,10.0,12.0,3450.0,10.0,1.0909090909090908,0.0
PRV51255,No,2.0,11000.0,5500.0,2.0,,,,,2.0,11000.0,2.0,0.6666666666666666,2.0
PRV51256,No,,,,,4.0,790.0,197.5,4.0,4.0,790.0,4.0,0.8,0.0
PRV51258,No,6.0,54000.0,9000.0,5.0,,,,,6.0,54000.0,5.0,1.0,6.0
PRV51259,No,3.0,141000.0,47000.0,2.0,,,,,3.0,141000.0,2.0,1.0,3.0
PRV51260,No,3.0,78000.0,26000.0,3.0,7.0,1580.0,225.71428571428572,6.0,10.0,79580.0,9.0,1.0,0.375
PRV51261,No,15.0,161000.0,10733.333333333334,15.0,5.0,770.0,154.0,5.0,20.0,161770.0,20.0,0.9523809523809523,2.5
PRV51262,No,,,,,4.0,570.0,142.5,4.0,4.0,570.0,4.0,0.8,0.0
PRV51263,Yes,12.0,160000.0,13333.333333333334,10.0,1.0,200.0,200.0,1.0,13.0,160200.0,11.0,1.0833333333333333,6.0
PRV51264,No,,,,,1.0,60.0,60.0,1.0,1.0,60.0,1.0,0.5,0.0
PRV51265,No,,,,,16.0,5350.0,334.375,6.0,16.0,5350.0,6.0,2.2857142857142856,0.0
PRV51266,No,7.0,27000.0,3857.1428571428573,7.0,2.0,90.0,45.0,2.0,9.0,27090.0,9.0,0.9,2.3333333333333335
PRV51267,No,1.0,3000.0,3000.0,1.0,1.0,90.0,90.0,1.0,2.0,3090.0,2.0,0.6666666666666666,0.5
PRV51271,No,1.0,4000.0,4000.0,1.0,3.0,120.0,40.0,3.0,4.0,4120.0,4.0,0.8,0.25
PRV51272,No,2.0,22000.0,11000.0,2.0,1.0,30.0,30.0,1.0,3.0,22030.0,3.0,0.75,1.0
PRV51273,No,,,,,33.0,3770.0,114.24242424242425,23.0,33.0,3770.0,23.0,1.375,0.0
PRV51274,No,6.0,72000.0,12000.0,6.0,2.0,200.0,100.0,2.0,8.0,72200.0,8.0,0.8888888888888888,2.0
PRV51276,No,9.0,83000.0,9222.222222222223,8.0,1.0,90.0,90.0,1.0,10.0,83090.0,9.0,1.0,4.5
PRV51277,No,5.0,36000.0,7200.0,5.0,4.0,350.0,87.5,4.0,9.0,36350.0,9.0,0.9,1.0
PRV51279,No,,,,,15.0,2120.0,141.33333333333334,13.0,15.0,2120.0,13.0,1.0714285714285714,0.0
PRV51280,No,,,,,4.0,1010.0,252.5,2.0,4.0,1010.0,2.0,1.3333333333333333,0.0
PRV51281,No,,,,,15.0,9040.0,602.6666666666666,12.0,15.0,9040.0,12.0,1.1538461538461537,0.0
PRV51282,No,5.0,44000.0,8800.0,5.0,1.0,2000.0,2000.0,1.0,6.0,46000.0,6.0,0.8571428571428571,2.5
PRV51284,No,9.0,146000.0,16222.222222222223,9.0,27.0,8830.0,327.037037037037,15.0,36.0,154830.0,24.0,1.44,0.32142857142857145
PRV51285,No,9.0,70000.0,7777.777777777777,8.0,10.0,3190.0,319.0,7.0,19.0,73190.0,15.0,1.1875,0.8181818181818182
PRV51286,No,8.0,105000.0,13125.0,7.0,4.0,190.0,47.5,4.0,12.0,105190.0,11.0,1.0,1.6
PRV51287,No,,,,,10.0,740.0,74.0,5.0,10.0,740.0,5.0,1.6666666666666667,0.0
PRV51288,No,3.0,37000.0,12333.333333333334,3.0,,,,,3.0,37000.0,3.0,0.75,3.0
PRV51289,No,,,,,5.0,950.0,190.0,5.0,5.0,950.0,5.0,0.8333333333333334,0.0
PRV51290,No,,,,,4.0,910.0,227.5,4.0,4.0,910.0,4.0,0.8,0.0
PRV51292,No,,,,,3.0,320.0,106.66666666666667,3.0,3.0,320.0,3.0,0.75,0.0
PRV51293,No,,,,,6.0,2200.0,366.6666666666667,5.0,6.0,2200.0,5.0,1.0,0.0
PRV51295,No,,,,,1.0,500.0,500.0,1.0,1.0,500.0,1.0,0.5,0.0
PRV51296,No,2.0,30000.0,15000.0,2.0,2.0,390.0,195.0,2.0,4.0,30390.0,4.0,0.8,0.6666666666666666
PRV51297,No,1.0,0.0,0.0,1.0,1.0,60.0,60.0,1.0,2.0,60.0,2.0,0.6666666666666666,0.5
PRV51298,No,,,,,1.0,40.0,40.0,1.0,1.0,40.0,1.0,0.5,0.0
PRV51299,No,,,,,2.0,210.0,105.0,2.0,2.0,210.0,2.0,0.6666666666666666,0.0
PRV51300,No,3.0,47000.0,15666.666666666666,2.0,6.0,6410.0,1068.3333333333333,3.0,9.0,53410.0,5.0,1.5,0.42857142857142855
PRV51301,No,2.0,19000.0,9500.0,2.0,4.0,260.0,65.0,2.0,6.0,19260.0,4.0,1.2,0.4
PRV51302,No,7.0,36000.0,5142.857142857143,7.0,4.0,330.0,82.5,4.0,11.0,36330.0,11.0,0.9166666666666666,1.4
PRV51303,No,,,,,3.0,470.0,156.66666666666666,2.0,3.0,470.0,2.0,1.0,0.0
PRV51304,No,2.0,28000.0,14000.0,2.0,,,,,2.0,28000.0,2.0,0.6666666666666666,2.0
